Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,OVA_diff
2022-04-30,Newcastle,Liverpool,,,,77,85,-8
2022-04-30,Southampton,Crystal Palace,,,,76,76,0
2022-04-30,Tottenham,Leicester,,,,81,80,1
2022-04-30,Watford,Burnley,,,,74,76,-2
2022-04-30,West Ham,Arsenal,,,,79,80,-1
2022-04-30,Wolves,Brighton,,,,78,76,2
2022-05-07,Arsenal,Leeds,,,,80,76,4
2022-05-07,Brentford,Southampton,,,,74,76,-2
2022-05-07,Brighton,Man United,,,,76,83,-7
2022-05-07,Burnley,Aston Villa,,,,76,78,-2
2022-05-07,Chelsea,Wolves,,,,84,78,6
2022-05-07,Crystal Palace,Watford,,,,76,74,2
2022-05-07,Leicester,Everton,,,,80,78,2
2022-05-07,Liverpool,Tottenham,,,,85,81,4
2022-05-07,Man City,Newcastle,,,,85,77,8
2022-05-07,Norwich City,West Ham,,,,73,79,-6
2022-05-15,Aston Villa,Crystal Palace,,,,78,76,2
2022-05-15,Everton,Brentford,,,,78,74,4
2022-05-15,Leeds,Brighton,,,,76,76,0
2022-05-15,Man United,Chelsea,,,,83,84,-1
2022-05-15,Newcastle,Arsenal,,,,77,80,-3
2022-05-15,Southampton,Liverpool,,,,76,85,-9
2022-05-15,Tottenham,Burnley,,,,81,76,5
2022-05-15,Watford,Leicester,,,,74,80,-6
2022-05-15,West Ham,Man City,,,,79,85,-6
2022-05-15,Wolves,Norwich City,,,,78,73,5
2022-05-22,Norwich City,Tottenham,,,,73,81,-8
2022-05-22,Man City,Aston Villa,,,,85,78,7
2022-05-22,Liverpool,Wolves,,,,85,78,7
2022-05-22,Leicester,Southampton,,,,80,76,4
2022-05-22,Crystal Palace,Man United,,,,76,83,-7
2022-05-22,Chelsea,Watford,,,,84,74,10
2022-05-22,Burnley,Newcastle,,,,76,77,-1
2022-05-22,Brighton,West Ham,,,,76,79,-3
2022-05-22,Brentford,Leeds,,,,74,76,-2
2022-05-22,Arsenal,Everton,,,,80,78,2
